year,actual,forecast,percentage_change,energy_type
2022,24.659,474.54903939902323,1824.4455955189717,renewables_consumption
2022,572.144777879175,474.4652925394184,-17.07251190893233,renewables_consumption
2022,277.056,474.3822441500034,71.22251247040433,renewables_consumption
2022,1053.022,474.43335947439033,-54.94554154857255,renewables_consumption
2022,58.607,474.4447432134187,709.5359653512697,renewables_consumption
2022,0.834,474.4201351106794,56784.90828665221,renewables_consumption
2022,103.058,474.4253272296737,360.34788879046135,renewables_consumption
2022,7092.607,474.4286400150066,-93.31094137860724,renewables_consumption
2022,0.033,474.4260325602768,1437554.6441220508,renewables_consumption
2022,572.144777879175,474.4258701704678,-17.07940218749027,renewables_consumption
2022,572.144777879175,474.42684665933047,-17.07923151585253,renewables_consumption
2022,14.335,474.4265569087036,3209.567889143381,renewables_consumption
